qst_deliver_message|{s13}에게 메세지를 전달
qst_deliver_message_to_enemy_lord|{s13}에게 메세지 전달
qst_raise_troops|{reg1} {s14}기를 양성
qst_escort_lady|{s13}을(를) {s14}(으)로 호위
qst_deal_with_bandits_at_lords_village|{s15}을(를) 약탈자들로부터 보호
qst_collect_taxes|{s3}에서 세금을 징수
qst_hunt_down_fugitive|{s4}을(를) 추적
qst_bounty_1|{s4} 추적
qst_bounty_1_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_2|{s4} 추적
qst_bounty_2_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_3|{s4} 추적
qst_bounty_3_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_4|{s4} 추적
qst_bounty_4_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_5|{s4} 추적
qst_bounty_5_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_6|{s4} 추적
qst_bounty_6_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_kill_local_merchant|{s3}의 지역상인 암살
qst_bring_back_runaway_serfs|도망친 노예 포획
qst_follow_spy|접선 장소까지 스파이 미행
qst_capture_enemy_hero|{s13}로부터 영주 생포
qst_lend_companion|당신의 동료 {s3}을(를) {s9}에게 대여
qst_collect_debt|{s3}에게서 {s9}의 빚을 회수
qst_incriminate_loyal_commander|{s13}의 충성스런 사령관인 {s16}에게 누명을 씌워라
qst_meet_spy_in_enemy_town|{s13}에서 스파이와 접선
qst_capture_prisoners|{reg1}명의 {s3} 포로를 확보
qst_lend_surgeon|당신의 군의관 {s3}을(를) {s1}에게 대여
qst_follow_army|{s9}의 군대와 종군
qst_report_to_army|최고 사령관 {s13}에게 보고
qst_deliver_cattle_to_army|소 {reg3}마리를 {s13}(으)로 배달
qst_join_siege_with_army|{s14}의 공성전에 참여
qst_screen_army|{s13} 군대의 진격을 막는다
qst_scout_waypoints|{s13}, {s14} 그리고 {s15}을(를) 정찰
qst_rescue_lord_by_replace|{s13}을(를) {s14}에서 구출
qst_deliver_message_to_prisoner_lord|{s14}의 {s13}에게 메세지를 전달
qst_duel_for_lady|{s13}에게 시합 도전
qst_duel_courtship_rival|{s13}에게 시합 도전 (선택)
qst_duel_avenge_insult|{s13}에게 시합 도전
qst_move_cattle_herd|소떼를 {s13}(으)로 이동
qst_escort_merchant_caravan|상인단을 {s8}(으)로 호위
qst_deliver_wine|{reg5}개의 {s6}을 {s4}(으)로 배달
qst_troublesome_bandits|골치 아픈 도적 추적
qst_kidnapped_girl|도적들로부터 소녀 구출
qst_persuade_lords_to_make_peace|두 명의 영주가 평화서약을 하도록 설득
qst_deal_with_looters|약탈자 처리
qst_deal_with_night_bandits|밤도적 처리
qst_deliver_grain|밀을 {s3}(으)로 배달
qst_deliver_cattle|소 {reg5}마리를 {s3}(으)로 배달
qst_train_peasants_against_bandits|도적들에 대항하여 {s13}의 농부들을 훈련
qst_eliminate_bandits_infesting_village|{s7}의 마을을 약탈자들에게서 보호
qst_visit_lady|귀부인 방문
qst_formal_marriage_proposal|정식 청혼
qst_obtain_liege_blessing|정식 청혼
qst_wed_betrothed|약혼자와 결혼
qst_wed_betrothed_female|약혼자와 결혼
qst_join_faction|{s1}를 향한 충성의 맹세
qst_rebel_against_kingdom|{s13}(이)가 {s14}의 왕권을 되찾는 것을 도움
qst_consult_with_minister|대신의 조언을 듣는다
qst_organize_feast|축제 개최
qst_resolve_dispute|논쟁 해결
qst_offer_gift|선물 얻기
qst_denounce_lord|영주 비난
qst_intrigue_against_lord|주군에 대한 음모
qst_track_down_bandits|도적들 추적
qst_track_down_provocateurs|선동자 추적
qst_retaliate_for_border_incident|국경분쟁에 대한 보복
qst_raid_caravan_to_start_war|중립 상인을 공격하여 전쟁을 유발
qst_cause_provocation|왕국을 자극하여 다른 나라를 공격하도록 만들어라
qst_rescue_prisoner|포로를 구해내거나 몸값을 지불
qst_destroy_bandit_lair|도적들의 소굴을 파괴
qst_mod_trouble|페즈 주점에 있는 하이레딘 레이스를 처리하라.
qst_mod_trouble_text|케드릭은 당신이 페즈에서 문제를 일으키고 있는 자들을 알아서 잘 처리하라고 말했다. 성공하면 보수를 줄 것을 약속 했다.
qst_espada_beowulf|탈리시온의 리라와 아더왕의 뿔피리 찾기
qst_espada_beowulf_text|바드 Aneirin 에너린은 당신이 Lyre of Taliesion과 Horn of Arthur를 찾아주면 전설속의 검을 주겠다고 제안했다.
qst_espada_falcata|로마의 귀환 : 튀니스를 점령하고 보고하라.
qst_relic|성스러운 유물 찾기
qst_relic_text|Ulcagnus라는 사제가 내가 말하길, 아리안 족이 성스러운 유물heresi을 훔쳐갔다고 한다. 나는 그들을 찾아 전투를 벌이거나 그들의 리더를 설득해 성스러운 유물을 확보해야한다. 이 개새끼들은 대략 리펄허스 근처에 있는 것으로 보인다. 리펄허스!
qst_escort_bishop|주교를 {s8}까지 호위
qst_escort_bishop_text|주교를 {s8}까지 호위하라.
qst_iniau_the_banished|이니아우 섬멸.
qst_iniau_the_banished_text|이니아우 섬멸.
qst_talk_to_zamoshie_elder|해우무노 마을의 장로와 대화하라.
qst_talk_to_zamoshie_elder_text|해우무노 마을에 몇가지 도움이 필요하다고 한다. 아마 이곳을 방문하여 돈을 조금 벌 수 있을지도 모르겠다.
qst_zamoshie_lower_taxes|농부의 세금
qst_zamoshie_lower_taxes_text|그단스크의 영주를 위해 해우무노 마을의 세금문제를 해결하라.
qst_deal_with_zamoshie_bandits|해우무노 마을 근처의 도적떼
qst_deal_with_zamoshie_bandits_text|해우무노 마을 근처의 도적들을 섬멸하라.
qst_oim_bring_goods_zamoshie|해우무노로 소금 3부대 운송
qst_oim_bring_goods_zamoshie_text|소금 3부대를 해우무노 마을로 운송하라.
qst_oim_trakay_icon|Elusive Priest
qst_oim_trakay_icon_text|Elusive Priest
qst_oim_getman_tampliers_archives|The Archive
qst_oim_getman_tampliers_archives_text|The Archive
qst_oim_dmitriy_gerasim|Veracius Evangelic
qst_freelancer_enlisted|용병 등록
qst_freelancer_vacation|용병 휴가
qst_collect_men|다섯 명의 군사 징집
qst_learn_where_merchant_brother_is|인질들이 어디에 있는지 알아내라
qst_save_relative_of_merchant|도적 소굴을 공격
qst_save_town_from_bandits|도적들로부터 마을을 보호
qst_quests_end|퀘스트 종료
